"MODEL","SCENARIO","REGION","VARIABLE","UNIT","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Coal|w/o CCS","PWh/yr",0.287916666666667,0.317111111111111,0.364611111111111,0.338444444444444,0.286694444444444,0.207472222222222,0.153527777777778,0.101611111111111,0.0562222222222222,0.0184444444444444
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Gas","PWh/yr",0.257055555555556,0.263944444444444,0.338444444444444,0.276833333333333,0.262472222222222,0.245222222222222,0.214416666666667,0.186083333333333,0.164833333333333,0.177944444444444
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Gas|w/ CCS","PWh/yr",0,0,0,0,0,0.01225,0.0493055555555556,0.0671944444444444,0.0679166666666667,0.108888888888889
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Gas|w/o CCS","PWh/yr",0.257055555555556,0.263944444444444,0.338444444444444,0.276833333333333,0.262472222222222,0.232944444444444,0.165083333333333,0.118888888888889,0.0969166666666667,0.0690555555555556
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Geothermal","PWh/yr",0.00333333333333333,0.00325,0.00344444444444444,0.00361111111111111,0.00380555555555556,0.00397222222222222,0.00363888888888889,0.00344444444444444,0.00330555555555556,0.00338888888888889
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Hydro","PWh/yr",0.0796666666666667,0.0798611111111111,0.0866111111111111,0.0933888888888889,0.103555555555556,0.113694444444444,0.124861111111111,0.113805555555556,0.113805555555556,0.113805555555556
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Non-Biomass Renewables","PWh/yr",0.0847222222222222,0.0916944444444444,0.115,0.146972222222222,0.24575,0.386111111111111,0.428861111111111,0.471361111111111,0.527388888888889,0.527583333333333
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Nuclear","PWh/yr",0.296611111111111,0.274666666666667,0.0506944444444444,0.199583333333333,0.17775,0.135972222222222,0.0649444444444444,0.03475,0.0206111111111111,0.00558333333333333
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Oil","PWh/yr",0.116333333333333,0.124944444444444,0.156583333333333,0.141111111111111,0.133555555555556,0.119333333333333,0.116194444444444,0.110722222222222,0.105138888888889,0.0988888888888889
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Solar","PWh/yr",0,0.00497222222222222,0.0123333333333333,0.0225277777777778,0.0599166666666667,0.124166666666667,0.156472222222222,0.211027777777778,0.268361111111111,0.268444444444444
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Electricity|Wind","PWh/yr",0.00172222222222222,0.00361111111111111,0.0125833333333333,0.0274166666666667,0.0784722222222222,0.144277777777778,0.143888888888889,0.143055555555556,0.141916666666667,0.141944444444444
"AIM/CGE","NDC&2050-50%","Japan","Secondary Energy|Gases","EJ/yr",1.1677,1.1155,1.191,1.1216,1.1119,1.107,1.1243,1.1088,1.0763,0.9822
